protocol	species	regime	model	feature_setting	run_id	seed	subset	metric	value	dimension	gate_statistics_path
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_mean	0.4647281467914581		/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_median	0.430340826511383		/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_std	0.3639096915721893		/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.9291977286338806	0.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.0270686708390712	1.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.4550817906856537	2.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.1557353436946869	3.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.0764466822147369	4.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.5495409965515137	5.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.9612258672714232	6.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.6598434448242188	7.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.057348359376192	8.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.1568574756383896	9.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.1479657143354416	10.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.0231147836893796	11.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.7821983098983765	12.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.8707384467124939	13.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.9249904751777648	14.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.1224075853824615	15.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2_GATED	seed_1029	1029	all_nodes	gate_dim_mean	0.37900111079216	16.0	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cA/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/gate_statistics.tsv
